Range,Prefix,Number,My Payterm,My Payout,Limits
Myanmar LX 03F,,959894160433,Monthly60,$ 100,SD : 30 | SW : 0
Myanmar LX 03F,,959260781304,Monthly60,$ 100,SD : 30 | SW : 0
Myanmar LX 03F,,959886552057,Monthly60,$ 100,SD : 30 | SW : 0
Myanmar LX 03F,,959427704434,Monthly60,$ 100,SD : 30 | SW : 0
